"datasetID","nombreInstitucion_snib","nombreColeccion_snib","cuerpoAgua_snib","isla_snib","pais_snib","validacionPais_snib","estadoProvincia_snib","validacionEstado_snib","condadoMunicipio_snib","validacionMunicipio_snib","validacionLocalidad_snib","datumGeodesico_snib","nombreCientifico_snib","nombreDeacuerdoCon_snib","nombrePublicadoEnAnio_snib","reino_snib","phylum_snib","clase_snib","orden_snib","familia_snib","genero_snib","subgenero_snib","epitetoespecifico_snib","epitetoinfraespecifico_snib","autoridadNombreCientifico_snib","estatusTaxonomico_snib"
"7e2852f515948044f753a74953063c48","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Oreopanax peltatus","Espejo Serna & López Ferrari, 2011a","1859","Plantae","Tracheophyta","Equisetopsida","Apiales","Araliaceae","Oreopanax","","peltatus","","Linden ex Regel, 1859","aceptado"
"901b8d73e6fa24d088f28ca012b2daa9","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"a198680799a799db0eaafa81f2284fbb","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"8478dd7b06d01b2488d05413b8854d5c","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Salvia lasiocephala","González-Gallegos, Pío-León & Castro-Castro, 2021","1838","Plantae","Tracheophyta","Equisetopsida","Lamiales","Lamiaceae","Salvia","","lasiocephala","","Hook. & Arn., 1838","aceptado"
"995862f26b616e8851818cbc4716a645","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Loeselia ciliata","Nash, 1979","1753","Plantae","Tracheophyta","Equisetopsida","Ericales","Polemoniaceae","Loeselia","","ciliata","","L., 1753","aceptado"
"995246baa6e9172ab3732ff2a71d64b1","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"3d4bf675434d7323ef92198bb6a28611","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"ae24d29e2b3a6ae5185b11f8d62e118c","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Styrax argenteus var. argenteus","Carranza, 1993","1835","Plantae","Tracheophyta","Equisetopsida","Ericales","Styracaceae","Styrax","","argenteus","argenteus","C. Presl, 1835","aceptado"
"e6e559814507929997a11aa2edd0be77","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Marina scopa","Téllez-Valdés, 2009","1977","Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Marina","","scopa","","Barneby, 1977","aceptado"
"0548f43eb4b5413df8ecf4aa9eecf69b","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Salvia thyrsiflora","Martínez-Gordillo, Bedolla-García, Cornejo-Tenorio, Fragoso-Martínez, García-Peña, González-Gallegos, Lara-Cabrera & Zamudio, 2017","1846","Plantae","Tracheophyta","Equisetopsida","Lamiales","Lamiaceae","Salvia","","thyrsiflora","","Benth., 1846","aceptado"
